Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Agosto,"3,7","8,5","8,3","6,5","7,2","7,3","7,8"
  Setembro,"3,9","8,7","9,5","7,2","7,7","7,6","8,2"
  Outubro,"3,9","9,6","10,0","7,2","8,1","7,6","7,9"
  Novembro,"4,0","8,4","10,9","7,3","7,9","7,7","8,3"
  Dezembro,"3,9","8,6","9,5","7,2","8,1","7,2","8,6"
2014,,,,,,,
  Janeiro,"4,1","8,8","12,6","6,9","8,5","7,3","8,3"
  Fevereiro,"4,0","8,5","9,6","6,8","7,8","7,6","8,7"
  Março,"4,1","9,3","10,5","8,5","8,0","8,0","9,1"
  Abril,"3,9","9,6","9,8","7,5","7,8","7,5","8,9"
  Maio,"4,2","9,0","9,9","7,8","9,1","8,0","8,8"
  Junho,"3,9","8,4","8,9","7,4","8,1","7,8","9,1"
  Julho,"4,3","8,4","9,7","7,4","8,8","8,6","8,6"
  Agosto,"4,2","9,8","8,2","8,0","9,4","8,0","8,7"
  Setembro,"4,2","9,9","8,2","7,4","8,6","8,1","8,6"
  Outubro,"4,2","9,6","10,0","7,8","9,1","8,2","8,5"
  Novembro,"3,9","8,3","9,7","7,4","8,4","7,8","9,7"
  Dezembro,"4,0","9,6","10,4","7,4","8,3","7,7","9,1"
2015,,,,,,,
  Janeiro,"4,1","8,9","8,2","8,4","8,5","8,3","9,4"
  Fevereiro,"4,3","9,4","9,8","7,4","8,5","8,3","8,3"
  Março,"4,4","9,1","13,0","7,7","8,8","8,6","8,4"
  Abril,"4,3","9,4","11,0","7,4","8,0","8,6","8,8"
  Maio,"4,4","8,6","10,4","8,0","8,9","8,9","8,9"
  Junho,"4,3","10,4","11,2","8,0","8,7","8,3","8,7"
  Julho,"4,1","9,8","10,4","7,5","8,0","8,2","9,2"
  Agosto,"4,4","9,1","10,9","7,7","8,1","8,3","9,2"
  Setembro,"4,4","8,8","10,4","8,1","8,2","8,4","10,1"
  Outubro,"4,4","9,1","10,6","7,7","9,1","8,3","9,2"
  Novembro,"4,3","8,5","13,5","7,8","9,0","8,2","10,5"
  Dezembro,"4,4","8,4","18,6","8,2","8,8","8,2","9,7"
2016,,,,,,,
  Janeiro,"4,5","8,7","15,2","8,2","8,8","8,5","9,8"
  Fevereiro,"4,6","9,6","15,7","9,0","8,8","8,4","8,9"
,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Mensal de Emprego mar.2002-fev.2016.",,,,,,,
