Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Maio,"1,0","2,6","2,7","2,0","1,8","1,7","2,5"
  Junho,"0,9","2,6","2,7","1,8","1,8","1,7","2,6"
  Julho,"0,9","2,7","2,8","1,9","1,9","1,6","2,6"
  Agosto,"0,9","2,6","2,7","1,9","1,9","1,6","2,5"
  Setembro,"0,9","2,5","2,9","2,0","1,9","1,6","2,5"
  Outubro,"1,0","2,6","2,7","2,1","1,9","1,7","2,4"
  Novembro,"1,0","2,7","2,5","2,0","1,9","1,7","2,4"
  Dezembro,"1,0","2,7","2,6","1,9","1,9","1,7","2,4"
2016,,,,,,,
  Janeiro,"0,9","2,7","2,6","1,9","1,8","1,7","2,3"
  Fevereiro,"1,0","2,7","2,6","2,0","1,8","1,8","2,4"
,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Mensal de Emprego mar.2002-fev.2016.",,,,,,,
